,Awards,imdbRating,imdbVotes,imdb_id,totalSeasons,title,type,genre,runtime,rating,webChannel,network,award_exposure,Action,Adult,Adventure,Anime,Children,Comedy,Crime,Drama,Family,Fantasy,Food,History,Horror,Legal,Medical,Music,Mystery,Nature,Romance,Science-Fiction,Sports,Supernatural,Thriller,Travel,War,Western
0,Won 2 Primetime Emmys. Another 11 wins & 21 nominations.,9.5,"86,448",tt5491994,1,Planet Earth II,Documentary,['Nature'],60.0,9.7,False,BBC One,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,Won 4 Primetime Emmys. Another 11 wins & 15 nominations.,9.4,"158,749",tt0795176,1,Planet Earth,Documentary,['Nature'],60.0,9.4,False,BBC One,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,Won 1 Golden Globe. Another 33 wins & 25 nominations.,9.5,"347,816",tt0185906,1,Band of Brothers,Scripted,"['Drama', 'Action', 'War']",60.0,9.4,False,HBO,59,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Won 2 Golden Globes. Another 151 wins & 234 nominations.,9.5,"1,325,388",tt0903747,5,Breaking Bad,Scripted,"['Drama', 'Crime', 'Thriller']",60.0,9.3,Netflix,AMC,387,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,Won 2 Golden Globes. Another 50 wins & 40 nominations.,9.4,"429,873",tt7366338,1,Chernobyl,Scripted,"['Drama', 'History']",60.0,9.1,False,HBO,92,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Won 1 Primetime Emmy. Another 10 wins & 12 nominations.,9.4,"27,795",tt6769208,1,Blue Planet II,Documentary,['Nature'],60.0,9.5,False,BBC One,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,Nominated for 2 Primetime Emmys. Another 16 wins & 51 nominations.,9.3,"262,888",tt0306414,5,The Wire,Scripted,"['Drama', 'Crime']",60.0,9.2,False,HBO,69,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Won 2 Primetime Emmys. Another 2 wins & 16 nominations.,9.3,"23,107",tt9253866,1,Our Planet,Documentary,['Nature'],60.0,8.2,Netflix,False,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,Won 1 Golden Globe. Another 273 wins & 454 nominations.,9.5,"1,429,496",tt0944947,8,Game of Thrones,Scripted,"['Drama', 'Adventure', 'Fantasy']",60.0,9.1,HBO Go,HBO,728,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Won 1 Primetime Emmy. Another 15 wins & 15 nominations.,9.2,"329,460",tt2861424,4,Rick and Morty,Animation,"['Comedy', 'Adventure', 'Science-Fiction']",30.0,9.1,False,Adult Swim,31,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,Won 1 Primetime Emmy. Another 8 wins & 6 nominations.,9.2,"209,300",tt0417299,3,Avatar: The Last Airbender,Animation,"['Action', 'Adventure', 'Fantasy']",30.0,9.0,False,Nickelodeon,15,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Won 5 Golden Globes. Another 113 wins & 303 nominations.,9.2,"271,698",tt0141842,6,The Sopranos,Scripted,"['Drama', 'Crime']",60.0,9.1,False,HBO,421,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2 wins & 3 nominations.,9.2,"20,202",tt0071075,1,The World at War,Documentary,"['War', 'History']",60.0,,False,ITV,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,Won 1 Primetime Emmy. Another 2 wins & 10 nominations.,9.1,"35,945",tt1533395,1,Life,Documentary,['Nature'],60.0,7.4,False,BBC One,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,Nominated for 1 Golden Globe. Another 88 wins & 172 nominations.,9.1,"751,888",tt1475582,4,Sherlock,Scripted,"['Drama', 'Crime', 'Mystery']",90.0,9.1,False,BBC One,261,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
